点名,x,y
K1,2755.9493,608.7357
K2,2779.8929,624.1570
K3,2794.9084,606.7066
K4,2762.0367,566.5300
K5,2702.3806,563.2834
K6,2756.3551,638.7666
K7,2794.5026,614.4172
K8,2734.4406,583.9804
K9,2751.4852,609.1415
K10,2708.8737,583.9804
K11,2770.9648,619.6929
K12,2755.9493,557.6019
K13,2737.6872,597.3726
K14,2770.1531,607.5182
K15,2767.3124,591.2853
K16,2727.1358,552.3262
K17,2738.9047,583.5746
K18,2724.7009,642.4190
K19,2724.7009,596.1551
K20,2710.0912,568.5591
K21,2720.6426,564.0951
K22,2735.2523,629.4327
K23,2755.5435,620.0987
K24,2736.0639,566.1242
K25,2755.5435,570.5882
K26,2726.3242,572.6174
K27,2690.6117,576.6756
K28,2676.0020,544.6155
K29,2734.4406,581.9513
K30,2799.3725,629.8385
K31,2798.1550,584.3862
K32,2715.7728,539.3398
K33,2693.0466,540.9631
K34,2690.6117,623.7512
K35,2803.4307,642.0132
K36,2778.2696,588.8503
K37,2696.6990,551.5145
K38,2732.0057,621.3162
K39,2750.2678,563.2834
K40,2660.5807,599.4017
K41,2730.3824,631.4618
K42,2730.7882,569.3708
K43,2707.6563,619.6929
K44,2704.8155,597.7784
K45,2740.1222,583.9804
K46,2701.9747,574.6465
K47,2782.7337,568.5591
K48,2753.9202,548.2679
K49,2675.5962,568.1533
K50,2676.8137,574.2407
K51,2716.1786,626.9977
K52,2800.5899,641.2016
K53,2821.2869,579.1105
K54,2789.2269,548.6738
K55,2751.0794,538.9340
K56,2710.9029,536.9049
K57,2682.4952,560.4426
K58,2654.0875,538.9340
K59,2681.6836,597.3726
K60,2701.1631,613.6056
K61,2738.0931,614.4172
K62,2776.2405,642.8249
K63,2802.6190,650.9413
K64,2808.7064,583.5746
K65,2785.5744,548.2679
K66,2758.7901,538.5282
K67,2709.6854,577.8931
K68,2743.7746,609.1415
K69,2712.1203,607.9240
K70,2743.7746,612.7939
K71,2819.6636,625.7803
K72,2796.5317,561.2543
K73,2737.6872,564.9067
K74,2775.4288,600.6192
K75,2755.1377,564.0951
K76,2768.5298,579.5164
K77,2740.5280,599.4017
K78,2769.7473,575.8639
K79,2773.3997,561.6601
K80,2786.7919,549.0796
K81,2764.4716,596.1551
K82,2751.4852,584.7921
K83,2699.9456,547.4563
K84,2701.9747,587.2270
K85,2706.4388,598.5901
K86,2683.7127,571.3999
K87,2662.2040,538.9340
K88,2674.3787,564.0951
K89,2673.9729,582.7630
K90,2655.7108,555.5728
K91,2689.8000,568.1533
K92,2654.0875,575.4581
K93,2662.6098,581.1397
K94,2732.0057,613.6056
K95,2785.9803,634.7084
K96,2818.4462,633.8967
K97,2813.5763,579.1105
K98,2773.3997,566.1242
K99,2778.2696,587.6328
K100,2752.2969,577.8931
K101,2726.3242,589.2561
K102,2930.8594,618.4754
K103,2922.7429,560.8485
K104,2933.2943,529.6000
K105,2963.7311,581.9513
K106,2979.9640,624.9686
K107,2986.0514,644.8540
K108,2597.2722,639.5783
K109,2567.6471,580.3280
K110,2508.3968,551.1087
K111,2468.2202,626.9977
K112,2899.6109,682.1898
K113,2973.4709,502.8157
K114,3037.1852,515.8020
K115,2563.5888,510.9321
K116,2528.2822,656.2171
K117,2462.9445,507.2797
K118,2843.3029,485.0862
K119,2630.8795,433.7242
K120,2654.9753,606.1993
K121,2697.4600,636.0020
K122,2762.7722,651.2204
K123,2805.8910,616.3449
K124,2722.1898,605.5652
K125,2699.3623,639.1725
K126,2783.0634,636.6361
K127,2749.4561,651.2204
K128,2742.4809,663.9023
K129,2689.8508,645.5135
K130,2664.4868,601.1265
K131,2659.4140,629.6610
K132,2677.1688,636.0020
K133,2708.2396,784.3813
K134,2554.7875,797.0633
K135,2845.2052,776.1380
K136,2996.1209,398.2938
K137,2982.2500,776.7721
K138,2777.1584,839.1913
K139,2817.7804,527.0953
K140,2781.1215,511.2429
K141,2723.6562,515.2060
K142,2699.8775,515.2060
K143,2680.0618,515.2060
K144,2840.5683,622.2103
K145,2818.7711,674.7217
K146,2767.2505,693.5465
K147,2716.7207,701.4727
K148,2691.9512,673.7309
K149,2675.1079,651.9337
K150,2662.2278,694.5373
K151,2760.3151,716.3345
K152,2800.9371,682.6479
K153,2786.0754,633.1089
K154,2730.5917,667.7862
K155,2743.4718,693.5465
K156,2696.9051,673.7309
K157,2637.4583,634.0997
K158,2677.0895,698.5004
K159,2794.9924,677.6940
K160,2841.5591,665.8046
K161,2834.6236,618.2472
K162,2835.6144,592.4869
K163,2821.7435,555.8280
K164,2784.0938,522.1414
K165,2637.4583,538.9847
K166,2617.6427,586.5422
K167,2629.5320,655.8968
K168,2636.4675,717.3252
K169,2713.7484,689.5834
K170,2734.5548,706.4267
K171,2711.7668,733.1777
K172,2664.2094,711.3806
K173,2663.2186,677.6939
K174,2661.2369,637.07200
K175,2649.3476,591.4961
K176,2640.4305,580.5975
K177,2648.3568,615.2747
K178,2830.6605,672.7401
K179,2755.3612,683.6387
K180,2781.1215,661.8414
