---------------电离层改正----------------

卫星标识	卫星高度角E	方位角A	电离层延迟Dion
G14	-1.205	-2.041	0.000
G13	1.069	2.933	-2.259
G20	0.610	-1.413	1.487
G18	-0.135	-1.833	0.000
G16	-0.327	-0.029	0.000
G19	0.019	2.714	4.703
G23	-0.598	0.531	0.000
G02	1.027	1.553	-1.450
G31	-0.704	-1.016	0.000
G17	-0.332	2.610	0.000
G12	0.080	-2.421	3.686
G15	0.606	-2.666	1.488
G29	0.751	-1.001	1.240
G07	0.108	0.967	3.301
G05	1.069	0.003	-2.252
G25	0.095	-1.836	3.470
G01	-1.072	2.553	0.000
G24	-0.147	-2.930	0.000
G27	-0.879	-0.111	0.000
G06	0.331	1.947	1.689
R14	0.004	1.310	4.988
R15	-0.057	1.962	0.000
R19	0.859	2.639	0.645
R20	1.229	-0.501	-6.687
R01	-1.259	2.841	0.000
R06	0.570	-1.920	1.497
R05	1.086	-0.414	-2.617
R04	0.412	0.561	1.538
R21	0.308	-0.510	1.761
